-0.143467-0.351162j 0.130128+0.839778j -0.239585-1.23367j 0.753777+1.94186j -0.587795-1.94063j 1.03586+5.20946j -0.792115-0.655425j 1.47654+6.55068j -1.7047-6.55145j 0.387073+1.41061j -2.18843-10.7301j 1.27933+5.1142j 1.19236+5.90857j 2.09917+9.76202j 0.757141+3.43344j 4.3051+20.2877j -2.95266-13.1544j -0.309208-1.21318j 1.00774+5.17794j 1.04383+4.47435j 0.815993+3.90864j 4.7571+22.3673j -0.167919-0.730116j 3.56953+16.8988j 0.222457+1.11346j 7.80246-14.6123j 6.78061-2.91653j 0.208902+0.742497j -3.67201-16.9888j 0.0370614+0.459477j 4.84969+22.1255j 0.840416+3.91918j -1.21989-4.45205j -1.34917-5.25752j 0.108311+1.21237j -3.21424-12.5844j 4.50362+19.5331j -0.782416-3.22769j 2.03205+9.02458j 1.2363+5.64856j 1.21621+4.82479j 1.54111+10.2245j 0.0085204+1.08286j 1.06925+6.5863j 0.770827+6.36943j 0.780263+0.850897j -0.774989-5.2209j -0.336467-1.45928j 0.889242+1.9696j 1.8167+2.44968j -0.449001-1.19068j 2.46882-1.85173j 
2.98782+73.1618j -1.26007-449.828j -11.3316+782.131j -12.817-1099.65j 10.4851+1074.08j -10.5907-2725.6j 18.9707+426.835j -11.5945-3446.35j 29.5752+3551j -6.9065-778.602j -4.63135+5503.35j -9.87504-2742.82j 2.26667-3101.32j -10.5904-5041.68j -5.56937-1845.84j 0.498909-10602.4j 0.138893+6873.61j 3.24233+639.907j 4.08116-2775.34j -9.40851-2249.61j 1.45275-2034.41j 10.6788-11663.4j 8.01139+254.313j 21.2129-8867.33j -6.24024-443.185j -5428.57+6526.33j -3626.87+655.948j 8.65913-443.261j -22.5604+8868.41j 10.6594-255.542j 47.807-11664.1j 7.90614-2034.41j -23.2114+2250.68j -9.72682+2776.29j 6.45983-640.13j -36.8213+6873.47j 52.3437-10604.6j -15.4224+1846.82j 37.4983-5042.19j 11.2422-3101.15j 24.4978-2743.05j 21.3747-5504.46j 11.4647-778.282j 50.6491-3552.13j 29.8272-3445.96j 22.948-427.76j -24.3187+2725.69j -16.813+1074.13j 19.4504-1099.67j -8.17987-782.487j -3.87386+450.141j 3.84756-73.2967j 
-6.92377-166.269j 3.55237+1022.16j 24.9987-1776.69j 31.2179+2497.54j -25.034-2439.37j 26.9956+6191.19j -43.6508-970.576j 30.679+7827.99j -71.6207-8066.12j 16.7229+1768.23j 4.83498-12500.5j 26.0356+6229.85j -1.3905+7045.32j 30.2164+11452.3j 14.7832+4193.02j 11.5139+24084.4j -6.90404-15613.6j -8.66044-1453.31j -5.8446+6305.03j 23.4897+5110.47j -1.35911+4622.77j -11.4205+26491.3j -18.3533-578.733j -38.8276+20143.2j 15.7691+1007.6j 12323.4-14830.5j 8233.82-1492.5j -19.8335+1008.21j 40.8248-20143.2j -22.2155+579.033j -96.2575+26493.1j -17.1861+4621.98j 49.6814-5111.35j 18.6641-6305.84j -14.0209+1453.97j 74.1363-15615.4j -109.597+24084.7j 31.9255-4193.32j -77.8704+11452.5j -27.0215+7045.73j -52.7096+6230.43j -43.7467+12500.7j -25.9005+1768.64j -108.575+8068.81j -63.5502+7829.18j -51.7134+971.613j 52.6739-6192.24j 35.9716-2440.23j -42.4786+2498.88j 19.3725+1776.73j 7.61067-1022.74j -8.65922+166.156j 
0.769555+24.7324j -0.410317-152.689j -3.85373+264.999j -3.62429-371.85j 3.16877+363.585j -3.05915-923.058j 6.1283+144.407j -2.98045-1167.29j 8.23943+1202.42j -1.86948-263.699j -2.76916+1863.58j -2.55715-928.555j 1.78529-1050.52j -1.87175-1707.06j -1.50466-625.337j 3.03434-3591.28j -1.91476+2328.17j 0.488154+216.61j 1.80425-940.867j -1.83924-762.804j 1.00092-689j 6.47855-3951.35j 2.66677+85.0169j 9.75927-3004.39j -1.61765-150.274j -1839.86+2210.5j -1228.15+221.268j 2.50136-150.228j -9.62131+3003.66j 3.7665-85.8901j 19.0327-3950.37j 3.64683-689.214j -8.28472+762.209j -4.16655+940.258j 2.32761-217.26j -14.103+2327.75j 21.1113-3591.55j -5.86699+625.533j 14.7608-1708.49j 4.50928-1050.97j 8.82123-928.676j 9.45656-1863.88j 4.43227-264.872j 18.0096-1203.17j 10.6851-1167.86j 8.22327-145.239j -8.63797+923.435j -5.64695+364.194j 6.79441-373.039j -2.05399-264.6j -0.977597+152.414j 1.32035-24.5342j 
1.26803+35.9057j -0.314072-220.516j -5.66664+383.251j -5.50312-539.056j 4.19991+526.195j -3.33873-1335.83j 8.97113+209.502j -3.35489-1688.86j 11.8253+1740.34j -2.22817-381.563j -5.7118+2697.14j -2.73255-1344.09j 2.97869-1520.44j -1.87362-2471.17j -1.52546-905.009j 6.84192-5196.61j -4.51172+3369.64j 1.70303+313.506j 3.07069-1360.34j -1.70382-1102.94j 1.3515-996.921j 12.9709-5716.16j 3.41704+124.84j 15.9328-4346.68j -3.05318-217.508j -2664.8+3196.05j -1777.9+320.107j 5.0166-217.113j -18.4789+4346.48j 5.31589-124.137j 31.7353-5717.31j 5.51582-997.386j -13.8036+1103.94j -5.60976+1361.41j 3.44992-315.409j -22.0983+3369.96j 33.3312-5196.56j -9.18505+905.384j 21.221-2471.54j 7.56322-1520.51j 13.8876-1344.22j 14.3094-2696.72j 5.8829-381.57j 27.6753-1741.14j 16.6855-1690.1j 11.8833-209.84j -13.2149+1336.4j -9.09929+526.698j 10.2339-539.46j -3.96298-383.257j -2.24498+220.612j 1.90343-35.8192j 
0.520203+5.02198j -0.738436-30.7871j -0.247598+53.759j -2.75521-75.4192j 2.53086+73.9253j -4.54266-186.837j 2.06089+29.3665j -5.76445-236.29j 7.66327+243.593j -2.00381-53.5189j 6.72098+377.249j -4.40375-188.237j -4.3172-212.419j -7.62878-345.974j -3.1313-126.393j -13.9161-726.977j 9.64831+470.389j 1.57806+44.3829j -2.98457-190.353j -4.4904-154.054j -2.97875-139.75j -13.8166-798.912j 0.27053+17.397j -9.71881-608.053j -1.14168-29.0707j -364.268+454.899j -246.844+49.4682j -0.0292617-29.8219j 9.52994+607.275j -0.298193-17.6955j -11.2647-798.153j -2.82449-138.328j 2.55037+153.602j 2.76343+189.876j -0.001149-44.6505j 7.27494+470.464j -9.25042-726.159j 1.90361+125.815j -3.11815-345.286j -2.17966-212.024j -2.80617-187.307j -5.79545-376.618j -0.556627-52.6952j -2.11863-243.092j -2.75172-235.191j 0.275169-28.998j 1.89883+186.105j 0.524521+72.9752j -0.216401-74.8258j -1.15139-53.6435j 0.441305+30.9294j 0.217376-5.05528j 
3.78073+88.3957j -2.62261-542.608j -12.3192+943.157j -17.7572-1326.01j 15.0509+1295.71j -18.187-3286.22j 24.3795+515.236j -21.1751-4154.88j 43.3022+4281.49j -9.69726-938.453j 4.32825+6634.85j -17.542-3306.61j -3.48847-3739.83j -22.6769-6079.31j -10.4682-2225.64j -19.2418-12783.3j 13.0705+8287.81j 3.95446+770.689j 0.335445-3346.71j -15.553-2712.96j -1.50952-2454.03j -9.08291-14061.5j 9.75283+307.344j 9.01442-10692.3j -8.33267-535.331j -6532.99+7878.58j -4369.39+796.491j 10.4447-534.626j -11.4361+10692.6j 12.7688-307.126j 37.0878-14061.5j 6.28759-2452.49j -23.2001+2712.23j -6.51848+3346.35j 5.5748-770.937j -29.943+8287.63j 44.9486-12784.1j -14.8336+2225.32j 34.1938-6079.3j 10.7567-3739.43j 24.7623-3307.31j 17.4534-6634.69j 12.4914-938.477j 53.5918-4282.52j 29.8759-4155.45j 26.4953-515.2j -23.8023+3285.96j -17.5152+1294.39j 21.2328-1325.93j -11.2597-942.699j -3.76025+542.833j 4.51314-88.1332j 
-2.48296-51.0309j 2.30172+312.539j 6.46898-543.233j 11.9869+764.126j -9.67686-746.314j 13.7949+1893.35j -14.9873-296.689j 16.6919+2394j -30.5858-2466.99j 7.52304+540.956j -8.69687-3822.46j 14.2399+1905.31j 5.49399+2154.68j 19.6969+3502.71j 8.37243+1282.12j 25.6713+7365.15j -18.0864-4773.86j -3.45469-443.822j 3.22808+1928.06j 13.2501+1563.69j 4.34117+1413.87j 20.7166+8101.99j -6.26037-176.882j 6.63683+6159.98j 6.60548+307.516j 3754.9-4546.39j 2516.51-464.489j -4.71587+307.789j -6.82677-6159.74j -5.5868+176.407j -5.77638+8102.4j -2.16223+1414.87j 9.21584-1562.92j 0.102727-1928.19j -3.15193+443.514j 7.26938-4775.16j -10.7184+7364.09j 6.05191-1282.1j -12.7243+3502.94j -1.85524+2154.65j -10.5935+1905.24j -2.64708+3822.67j -5.85189+540.772j -25.8197+2467.41j -11.9785+2393.94j -14.2817+296.931j 10.2878-1892.95j 8.56732-746.202j -10.3357+764.017j 7.41158+543.156j 1.4704-312.292j -2.50259+50.771j 
4.69792+108.374j -3.34732-666.326j -15.286+1157.49j -22.5927-1627.73j 18.6359+1589.92j -22.1408-4035.13j 30.1876+632.685j -26.4231-5101.59j 54.2815+5256.2j -12.4016-1152.48j 6.49373+8145.94j -22.143-4060.24j -5.19619-4590.87j -28.5388-7462.66j -12.9896-2732.65j -24.709-15693.9j 17.4343+10174.5j 6.68234+947.136j -1.48782-4108.84j -20.6953-3330.67j -2.03412-3012.84j -13.3332-17262.7j 12.7587+377.36j 9.91925-13126.9j -10.7672-656.36j -8018.35+9674.6j -5363.67+978.461j 12.0513-655.663j -10.8582+13125.3j 14.3928-376.981j 43.1211-17263.9j 8.32916-3013.63j -27.504+3329.86j -6.6959+4109.31j 7.92474-947.824j -36.4307+10175.2j 52.9039-15695.4j -18.7264+2731.74j 41.4918-7462.39j 12.0919-4591.08j 28.6911-4060.07j 20.1117-8145.9j 14.5957-1151.96j 64.7299-5256.97j 35.0192-5101.65j 32.7458-631.938j -29.2186+4034.95j -21.4435+1590.08j 25.5626-1628.02j -13.5682-1157.52j -4.44865+666.566j 5.14593-108.272j 
-4.36986-103.416j 2.79327+637.59j 14.6294-1107.52j 21.641+1557.52j -17.3873-1521.33j 20.7008+3860.29j -28.5598-604.679j 24.1507+4880.31j -50.6195-5028.5j 11.7024+1102.07j -4.65751-7792.36j 19.5964+3884.28j 2.90432+4391.46j 25.5445+7139.8j 11.3253+2613.44j 21.8802+15014.2j -14.6775-9733.31j -4.73255-905.631j -0.352342+3930.45j 18.9721+3186.03j 2.23368+2881.16j 8.25128+16515.5j -12.5872-361.654j -12.5744+12556.7j 10.2307+627.918j 7672.92-9253.43j 5131.52-935.081j -11.6313+628.459j 14.1479-12556.6j -12.9735+360.041j -46.1532+16515.8j -9.17226+2881.99j 26.2775-3185.78j 7.2024-3930.42j -8.10635+906.055j 36.9692-9734.31j -54.2345+15014j 16.6857-2615.04j -41.7498+7140.51j -12.3574+4391.84j -28.9422+3884.66j -20.2972+7793.31j -14.7989+1101.97j -63.2061+5029.28j -34.4981+4880.43j -30.4531+605.387j 28.7116-3859.99j 20.7099-1521.22j -25.5022+1557.1j 13.119+1107.68j 4.40364-638.009j -4.8143+103.494j 
-2.08768-48.3115j 0.708507+299.054j 7.38874-519.869j 9.02369+731.022j -7.32611-713.918j 7.90093+1811.43j -13.1495-284.105j 8.75845+2290.76j -20.5213-2360.13j 4.52413+517.472j 1.68241-3658.18j 7.92374+1822.35j 0.400403+2061j 8.12663+3350.74j 3.76102+1227.14j 2.47365+7047.02j -1.8966-4568.2j -1.83226-426.054j -2.72495+1843.98j 6.63899+1495.29j -0.938899+1352.19j -3.85281+7752.06j -4.63399-168.859j -12.6821+5894.38j 3.91909+294.466j 3606-4339.62j 2408.88-436.948j -4.83955+293.783j 12.8826-5894.28j -5.9311+170.335j -29.4256+7753.36j -5.34772+1352.89j 15.3811-1495.97j 5.33027-1844.7j -4.2606+426.007j 21.7319-4569.3j -32.4077+7047.17j 10.4748-1227.03j -24.0563+3352.19j -7.98846+2061.54j -15.7104+1824.36j -13.4783+3657.39j -7.4293+517.585j -32.1008+2361.09j -18.9267+2291j -15.5326+283.989j 15.6279-1811.78j 10.4442-713.776j -13.0188+731.383j 5.56818+519.885j 2.66472-299.197j -2.30752+48.6153j 
74.9212+14.3048j -454.824-107.95j 786.953+202.729j -1114.7-254.307j 1088.26+250.839j -2757.7-653.275j 436.612+83.6462j -3486.33-827.257j 3597.47+833.239j -788.249-182.053j 5560.69+1345.49j -2774.64-657.269j -3133.18-757.081j -5098.33-1216.4j -1866.41-443.208j -10715.4-2582.57j 6946.15+1673.91j 647.193+153.392j -2805.88-679.883j -2276.34-538.213j -2055.94-497.125j -11784.1-2851.1j 258.541+53.2939j -8955.82-2181.55j -450.073-101.699j 5273.21+7075.09j -220.259+3822.81j -446.392-116.737j 8955.48+2182.83j -254.071-71.6319j -11774.8-2889.38j -2054.19-504.358j 2268.76+569.257j 2804.14+687.08j -645.197-161.53j 6937.56+1709.09j -10702.3-2636.16j 1861.09+465.063j -5086.45-1265.28j -3130.25-769.11j -2765.99-692.791j -5556.34-1363.34j -783.646-200.97j -3577.54-915.049j -3476.11-869.24j -426.156-126.579j 2749.12+688.54j 1081.66+277.897j -1106.74-286.984j -791.99-182.013j 453.5+113.39j -73.1109-21.764j 
2.29739+67.542j 2.19579-415.317j -16.9067+721.131j -3.86602-1014.48j 1.60164+990.765j 11.8946-2513.83j 15.0266+393.986j 15.9789-3178.25j 0.703349+3275.19j -0.394107-718.002j -47.9162+5075.06j 11.9311-2529.53j 25.7975-2859.94j 30.1251-4649.95j 9.29043-1702.19j 83.7338-9776.42j -52.9822+6339.49j -2.13234+590.643j 26.0721-2560.9j 7.89012-2074.34j 17.8603-1875.77j 101.752-10754.6j 5.89994+235.106j 88.2764-8177.25j -3.19038-409.22j -5057.12+5976.04j -3347.85+575.963j 12.2152-409.068j -92.0382+8177.23j 11.0604-234.922j 135.418-10754.2j 23.5167-1875.7j -37.8659+2074.03j -30.4044+2560.83j 10.8783-590.561j -86.7864+6339.13j 131.88-9775.88j -28.2347+1701.97j 72.406-4649.46j 37.2569-2859.81j 43.8469-2529.17j 63.9999-5074.88j 16.2185-717.811j 72.9348-3274.37j 54.1126-3177.83j 23.7121-393.554j -43.543+2513.47j -23.4464+990.493j 26.2294-1014.16j -1.01136-721.34j -6.94839+415.263j 3.78765-67.4669j 
-2.30752-48.6153j 2.66472+299.197j 5.56818-519.885j 13.0188+731.383j -10.4442-713.776j 15.6279+1811.78j -15.5326-283.989j 18.9267+2291j -32.1008-2361.09j 7.4293+517.585j -13.4783-3657.39j 15.7104+1824.36j 7.98846+2061.54j 24.0563+3352.19j 10.4748+1227.03j 32.4077+7047.17j -21.7319-4569.3j -4.2606-426.007j 5.33027+1844.7j 15.3811+1495.97j 5.34772+1352.89j 29.4256+7753.36j -5.9311-170.335j 12.8826+5894.28j 4.83955+293.783j 3588.12-4354.23j 2407.46-446.576j -3.91909+294.466j -12.6821-5894.38j -4.63399+168.859j 3.85281+7752.06j 0.938899+1352.19j 6.63899-1495.29j -2.72495-1843.98j -1.83226+426.054j 1.8966-4568.2j -2.47365+7047.02j 3.76102-1227.14j -8.12663+3350.74j -0.400403+2061j -7.92374+1822.35j 1.68241+3658.18j -4.52413+517.472j -20.5213+2360.13j -8.75845+2290.76j -13.1495+284.105j 7.90093-1811.43j 7.32611-713.918j -9.02369+731.022j 7.38874+519.869j 0.708507-299.054j -2.08768+48.3115j 
4.8143+103.494j -4.40364-638.009j -13.119+1107.68j -25.5022-1557.1j 20.7099+1521.22j -28.7116-3859.99j 30.4531+605.387j -34.4981-4880.43j 63.2061+5029.28j -14.7989-1101.97j 20.2972+7793.31j -28.9422-3884.66j -12.3574-4391.84j -41.7498-7140.51j -16.6857-2615.04j -54.2345-15014j 36.9692+9734.31j 8.10635+906.055j -7.2024-3930.42j -26.2775-3185.78j -9.17226-2881.99j -46.1532-16515.8j 12.9735+360.041j -14.1479-12556.6j -11.6313-628.459j -7653.97+9269.38j -5129.04+945.973j 10.2307-627.918j 12.5744+12556.7j 12.5872-361.654j 8.25128-16515.5j 2.23368-2881.16j -18.9721+3186.03j 0.352342+3930.45j 4.73255-905.631j -14.6775+9733.31j 21.8802-15014.2j -11.3253+2613.44j 25.5445-7139.8j 2.90432-4391.46j 19.5964-3884.28j 4.65751-7792.36j 11.7024-1102.07j 50.6195-5028.5j 24.1507-4880.31j 28.5598-604.679j -20.7008+3860.29j -17.3873+1521.33j 21.641-1557.52j -14.6294-1107.52j -2.79327+637.59j 4.36986-103.416j 
-5.14593-108.272j 4.44865+666.566j 13.5682-1157.52j 25.5626+1628.02j -21.4435-1590.08j 29.2186+4034.95j -32.7458-631.938j 35.0192+5101.65j -64.7299-5256.97j 14.5957+1151.96j -20.1117-8145.9j 28.6911+4060.07j 12.0919+4591.08j 41.4918+7462.39j 18.7264+2731.74j 52.9039+15695.4j -36.4307-10175.2j -7.92474-947.824j 6.6959+4109.31j 27.504+3329.86j 8.32916+3013.63j 43.1211+17263.9j -14.3928-376.981j 10.8582+13125.3j 12.0513+655.663j 8002.91-9687.63j 5361.58-987.386j -10.7672+656.36j -9.91925-13126.9j -12.7587+377.36j -13.3332+17262.7j -2.03412+3012.84j 20.6953-3330.67j 1.48782-4108.84j -6.68234+947.136j 17.4343-10174.5j -24.709+15693.9j 12.9896-2732.65j -28.5388+7462.66j -5.19619+4590.87j -22.143+4060.24j -6.49373+8145.94j -12.4016+1152.48j -54.2815+5256.2j -26.4231+5101.59j -30.1876+632.685j 22.1408-4035.13j 18.6359-1589.92j -22.5927+1627.73j 15.286+1157.49j 3.34732-666.326j -4.69792+108.374j 
-2.50259-50.771j 1.4704+312.292j 7.41158-543.156j 10.3357+764.017j -8.56732-746.202j 10.2878+1892.95j -14.2817-296.931j 11.9785+2393.94j -25.8197-2467.41j 5.85189+540.772j -2.64708-3822.67j 10.5935+1905.24j 1.85524+2154.65j 12.7243+3502.94j 6.05191+1282.1j 10.7184+7364.09j -7.26938-4775.16j -3.15193-443.514j 0.102727+1928.19j 9.21584+1562.92j 2.16223+1414.87j 5.77638+8102.4j -5.5868-176.407j -6.82677+6159.74j 4.71587+307.789j 3763.7-4539.12j 2517.38-459.629j -6.60548+307.516j 6.63683-6159.98j -6.26037+176.882j -20.7166+8101.99j -4.34117+1413.87j 13.2501-1563.69j 3.22808-1928.06j -3.45469+443.822j 18.0864-4773.86j -25.6713+7365.15j 8.37243-1282.12j -19.6969+3502.71j -5.49399+2154.68j -14.2399+1905.31j -8.69687+3822.46j -7.52304+540.956j -30.5858+2466.99j -16.6919+2394j -14.9873+296.689j 13.7949-1893.35j 9.67686-746.314j -11.9869+764.126j 6.46898+543.233j 2.30172-312.539j -2.48296+51.0309j 
-4.51314-88.1332j 3.76025+542.833j 11.2597-942.699j 21.2328+1325.93j -17.5152-1294.39j 23.8023+3285.96j -26.4953-515.2j 29.8759+4155.45j -53.5918-4282.52j 12.4914+938.477j -17.4534-6634.69j 24.7623+3307.31j 10.7567+3739.43j 34.1938+6079.3j 14.8336+2225.32j 44.9486+12784.1j -29.943-8287.63j -5.5748-770.937j 6.51848+3346.35j 23.2001+2712.23j 6.28759+2452.49j 37.0878+14061.5j -12.7688-307.126j 11.4361+10692.6j 10.4447+534.626j 6516.97-7892.11j 4367.17-805.784j -8.33267+535.331j -9.01442-10692.3j -9.75283+307.344j -9.08291+14061.5j -1.50952+2454.03j 15.553-2712.96j -0.335445-3346.71j -3.95446+770.689j 13.0705-8287.81j -19.2418+12783.3j 10.4682-2225.64j -22.6769+6079.31j -3.48847+3739.83j -17.542+3306.61j -4.32825+6634.85j -9.69726+938.453j -43.3022+4281.49j -21.1751+4154.88j -24.3795+515.236j 18.187-3286.22j 15.0509-1295.71j -17.7572+1326.01j 12.3192+943.157j 2.62261-542.608j -3.78073+88.3957j 
-0.217376-5.05528j -0.441305+30.9294j 1.15139-53.6435j -0.216401+74.8258j 0.524521-72.9752j -1.89883+186.105j -0.275169-28.998j -2.75172+235.191j 2.11863-243.092j -0.556627+52.6952j 5.79545-376.618j -2.80617+187.307j -2.17966+212.024j -3.11815+345.286j -1.90361+125.815j -9.25042+726.159j 7.27494-470.464j 0.001149-44.6505j -2.76343+189.876j -2.55037+153.602j -2.82449+138.328j -11.2647+798.153j 0.298193-17.6955j -9.52994+607.275j -0.0292617+29.8219j 378.062-442.761j 249.747-40.7613j -1.14168+29.0707j 9.71881-608.053j -0.27053+17.397j -13.8166+798.912j -2.97875+139.75j 4.4904-154.054j 2.98457-190.353j -1.57806+44.3829j 9.64831-470.389j -13.9161+726.977j 3.1313-126.393j -7.62878+345.974j -4.3172+212.419j -4.40375+188.237j -6.72098+377.249j -2.00381+53.5189j -7.66327+243.593j -5.76445+236.29j -2.06089+29.3665j 4.54266-186.837j 2.53086-73.9253j -2.75521+75.4192j 0.247598+53.759j 0.738436-30.7871j -0.520203+5.02198j 
1.90343+35.8192j -2.24498-220.612j -3.96298+383.257j -10.2339-539.46j 9.09929+526.698j -13.2149-1336.4j 11.8833+209.84j -16.6855-1690.1j 27.6753+1741.14j -5.8829-381.57j 14.3094+2696.72j -13.8876-1344.22j -7.56322-1520.51j -21.221-2471.54j -9.18505-905.384j -33.3312-5196.56j 22.0983+3369.96j 3.44992+315.409j -5.60976-1361.41j -13.8036-1103.94j -5.51582-997.386j -31.7353-5717.31j 5.31589+124.137j -18.4789-4346.48j -5.0166-217.113j -2641.52+3215.45j -1775.26+333.196j 3.05318-217.508j 15.9328+4346.68j 3.41704-124.84j -12.9709-5716.16j -1.3515-996.921j -1.70382+1102.94j 3.07069+1360.34j 1.70303-313.506j 4.51172+3369.64j -6.84192-5196.61j -1.52546+905.009j 1.87362-2471.17j -2.97869-1520.44j 2.73255-1344.09j -5.7118-2697.14j 2.22817-381.563j 11.8253-1740.34j 3.35489-1688.86j 8.97113-209.502j -3.33873+1335.83j -4.19991+526.195j 5.50312-539.056j -5.66664-383.251j -0.314072+220.516j 1.26803-35.9057j 
1.32035+24.5342j -0.977597-152.414j -2.05399+264.6j -6.79441-373.039j 5.64695+364.194j -8.63797-923.435j 8.22327+145.239j -10.6851-1167.86j 18.0096+1203.17j -4.43227-264.872j 9.45656+1863.88j -8.82123-928.676j -4.50928-1050.97j -14.7608-1708.49j -5.86699-625.533j -21.1113-3591.55j 14.103+2327.75j 2.32761+217.26j -4.16655-940.258j -8.28472-762.209j -3.64683-689.214j -19.0327-3950.37j 3.7665+85.8901j -9.62131-3003.66j -2.50136-150.228j -1827.08+2221.21j -1226.58+228.54j 1.61765-150.274j 9.75927+3004.39j 2.66677-85.0169j -6.47855-3951.35j -1.00092-689j -1.83924+762.804j 1.80425+940.867j 0.488154-216.61j 1.91476+2328.17j -3.03434-3591.28j -1.50466+625.337j 1.87175-1707.06j -1.78529-1050.52j 2.55715-928.555j -2.76916-1863.58j 1.86948-263.699j 8.23943-1202.42j 2.98045-1167.29j 6.1283-144.407j -3.05915+923.058j -3.16877+363.585j 3.62429-371.85j -3.85373-264.999j -0.410317+152.689j 0.769555-24.7324j 
-8.65922-166.156j 7.61067+1022.74j 19.3725-1776.73j 42.4786+2498.88j -35.9716-2440.23j 52.6739+6192.24j -51.7134-971.613j 63.5502+7829.18j -108.575-8068.81j 25.9005+1768.64j -43.7467-12500.7j 52.7096+6230.43j 27.0215+7045.73j 77.8704+11452.5j 31.9255+4193.32j 109.597+24084.7j -74.1363-15615.4j -14.0209-1453.97j 18.6641+6305.84j 49.6814+5111.35j 17.1861+4621.98j 96.2575+26493.1j -22.2155-579.033j 40.8248+20143.2j 19.8335+1008.21j 12262.9-14881.2j 8226.3-1527j -15.7691+1007.6j -38.8276-20143.2j -18.3533+578.733j 11.4205+26491.3j 1.35911+4622.77j 23.4897-5110.47j -5.8446-6305.03j -8.66044+1453.31j 6.90404-15613.6j -11.5139+24084.4j 14.7832-4193.02j -30.2164+11452.3j 1.3905+7045.32j -26.0356+6229.85j 4.83498+12500.5j -16.7229+1768.23j -71.6207+8066.12j -30.679+7827.99j -43.6508+970.576j 26.9956-6191.19j 25.034-2439.37j -31.2179+2497.54j 24.9987+1776.69j 3.55237-1022.16j -6.92377+166.269j 
3.84756+73.2967j -3.87386-450.141j -8.17987+782.487j -19.4504-1099.67j 16.813+1074.13j -24.3187-2725.69j 22.948+427.76j -29.8272-3445.96j 50.6491+3552.13j -11.4647-778.282j 21.3747+5504.46j -24.4978-2743.05j -11.2422-3101.15j -37.4983-5042.19j -15.4224-1846.82j -52.3437-10604.6j 36.8213+6873.47j 6.45983+640.13j -9.72682-2776.29j -23.2114-2250.68j -7.90614-2034.41j -47.807-11664.1j 10.6594+255.542j -22.5604-8868.41j -8.65913-443.261j -5396.45+6554.1j -3621.12+675.499j 6.24024-443.185j 21.2129+8867.33j 8.01139-254.313j -10.6788-11663.4j -1.45275-2034.41j -9.40851+2249.61j 4.08116+2775.34j 3.24233-639.907j -0.138893+6873.61j -0.498909-10602.4j -5.56937+1845.84j 10.5904-5041.68j -2.26667-3101.32j 9.87504-2742.82j -4.63135-5503.35j 6.9065-778.602j 29.5752-3551j 11.5945-3446.35j 18.9707-426.835j -10.5907+2725.6j -10.4851+1074.08j 12.817-1099.65j -11.3316-782.131j -1.26007+449.828j 2.98782-73.1618j 
-2.88412-48.0117j 2.20697+294.693j 5.77663-512.301j 12.2747+719.04j -10.6219-702.768j 14.7342+1783.7j -14.8647-280.407j 17.8156+2256.63j -31.1344-2324.32j 8.23295+509.301j -12.0043-3602.18j 14.9471+1794.97j 7.10325+2030.19j 20.5387+3300.14j 8.6828+1207.37j 30.0539+6939.23j -19.7401-4499.23j -3.22838-418.645j 4.63688+1817.25j 14.1313+1471.39j 5.26232+1332j 24.9876+7633.84j -6.32589-167.449j 10.9364+5803.81j 5.7605+290.553j 3535.83-4286.88j 2369.55-438.966j -5.51509+290.236j -10.5428-5804.06j -5.42173+166.451j 1.47947+7633.08j -0.715519+1331.77j 7.83856-1472.32j -1.35292-1816.54j -2.65544+418.708j 2.79865-4498.8j -5.23381+6938.85j 4.46128-1207.71j -9.98212+3299.93j 0.090603+2029.47j -7.9187+1794.86j 0.176329+3601.92j -5.32192+509.512j -21.7159+2324j -9.39929+2255.46j -13.0452+279.604j 8.16251-1783.86j 7.80733-702.848j -8.89712+719.848j 7.28908+511.904j 1.17279-294.197j -2.14452+47.8179j 
4.59195+86.7529j -4.43443-532.674j -9.89938+924.991j -23.6936-1301.18j 20.5808+1270.19j -30.5127-3223.8j 28.0422+505.77j -37.4035-4075.96j 60.6795+4200.51j -13.2635-921.037j 27.3737+6508.05j -28.6471-3243.27j -16.299-3667.51j -45.7873-5961.48j -19.3374-2182.95j -67.582-12536.9j 45.9747+8128.95j 6.87962+755.954j -11.2823-3282.77j -28.0388-2660.63j -11.658-2407.3j -62.2397-13791.2j 11.5213+301.544j -29.5654-10484.6j -10.6329-524.658j -6376.74+7749.93j -4281.01+798.034j 5.95288-524.879j 28.9886+10485.3j 9.12412-301.278j -18.4894-13789.6j -2.1392-2406.62j -9.12347+2659.44j 5.54966+3282.4j 3.60924-757.227j 2.99596+8127.41j -4.32898-12535.8j -6.07713+2182.26j 10.5991-5961.54j -3.61105-3667.27j 10.6631-3242.6j -7.47815-6506.87j 7.61355-919.981j 33.0629-4198.57j 12.3577-4074.62j 21.9715-504.832j -11.0343+3222.46j -12.0807+1269.79j 14.9039-1299.93j -13.5679-924.917j -1.22673+531.996j 3.54319-86.5509j 
